Name,Genres,Popularity,Followers,Artist_URI
Skeletonwitch,"black thrash, death metal, melodic thrash",31,84175,spotify:artist:213mmq3zkNWx7CtfzftTC5
Structures,"canadian metal, canadian metalcore, deathcore, djent, melodic metalcore, metalcore",31,50496,spotify:artist:7ym3CMfXJCuyIMf60Vm9Wm
Blood Incantation,"cavernous death metal, cosmic death metal, death metal, deathgrind, denver metal, new wave of osdm, technical death metal",32,76222,spotify:artist:6FGv87WQ3mJWn3cmLUww6x
Misery Signals,"deathcore, djent, melodic metalcore, metalcore, progressive metalcore",31,65847,spotify:artist:0OSABE1yGiZK2ALQDJ0SeO
The Tony Danza Tapdance Extravaganza,"american grindcore, american metalcore, deathcore, djent, mathcore, melodic metalcore, tennessee metal",29,59592,spotify:artist:54ZsHhYWjJ3cc14rux5CjE
Sonic Syndicate,"melodic death metal, melodic groove metal, swedish melodeath, swedish metalcore",38,138971,spotify:artist:384RPjoLeqSOcy5qS9oQgX
Kalmah,"finnish death metal, finnish melodeath, folk metal, melodic death metal, oulu metal",37,125928,spotify:artist:2YPVtFn6SsYNntkmrdDpGF
Portrayal of Guilt,"austin metal, blackened screamo, chaotic hardcore, post-doom metal, skramz, texas death metal",30,32061,spotify:artist:1Uwe1MbiKnPHAFh3qMWuNp
Be'lakor,"australian death metal, australian metal, folk metal, melodic death metal, progressive death metal, viking metal",36,109160,spotify:artist:7qUcsMCdIHrs2LOZlmciQp
Alluvial,"djent, instrumental death metal, portland metal, technical death metal",31,32775,spotify:artist:7z2P2nNjtnAVnUavHIXZWQ
Eye of the Enemy,melodic death metal,36,24165,spotify:artist:2kZFz0oADF6cgGnqURtvNb
Parasite Inc.,"german melodeath, melodic death metal",37,33560,spotify:artist:54T3fmk25giTpL4mBmqIHy
Bloodred Hourglass,"finnish death metal, finnish melodeath, melodic death metal",41,31623,spotify:artist:5LDGgIxaWuRV4KlY6oob6b
Fulci,cavernous death metal,30,21772,spotify:artist:5rK5iEoGaC5LtoBCiXpCet
Dismember,"black metal, brutal death metal, death metal, deathgrind, swedish death metal, swedish metal, thrash metal",36,85654,spotify:artist:09OwM7iXyoFAOzQUlWeDgB
Goatwhore,"brutal death metal, death metal, deathgrind, groove metal, louisiana metal, sludge metal",30,75769,spotify:artist:59YfPxuxGghrdPumu6aFKI
Swallow The Sun,"doom metal, finnish death metal, finnish doom metal, finnish melodeath, finnish metal, melodic death metal",37,134507,spotify:artist:0ulKlNlo0iPx5ZS6VMTHWQ
Inferi,"american melodeath, brutal death metal, symphonic death metal, technical brutal death metal, technical death metal, technical melodic death metal, tennessee metal",31,42622,spotify:artist:2DlKh1IzbG3EwAMaTF2p4A
